question,answer,metadata
what is ‘qpay service’?," it is a service that allows xacbank internet banking customers to pay by scanning qr /qu-ar/ codes using the “xacbank” application for smartphones, create qr codes for their accounts, or create invoices and receive income to their accounts.",general
how to become a qpay service user?, you only need to be a xacbank internet banking user and install the xacbank application on your smartphone.,general
who can use it?, the qr reading feature is added as a new additional feature to the xacbank app. every customer who is registered with the internet banking service and has xacbank installed on their mobile (smart) phone can use this feature.,general
"how to use it, that is, how to make a payment?"," every customer who can make a payment by scanning qr codes will scan a payment invoice or sign containing a qr code and then proceed with the transaction after reviewing the detailed breakdown that appears. fees to be paid by the customer when paying using qr:  the transaction is considered an internet banking transaction.  if a hasbank customer makes a transaction to a merchant created by hasbank or created by someone else who has an account with hasbank, there is no transaction fee.  if a hasbank customer makes a transaction to a customer created by another bank or who has selected their account as a merchant account, an interbank transaction fee will be charged.  frequently asked questions and answers about business loans",general
who is a co-borrower?, a co-borrower is a person who has the same rights and obligations as the borrower in a loan agreement.,general
who is a guarantor?," a citizen or legal entity that confirms to the bank that the borrower can repay the loan and interest within the period specified in the agreement and, if not, agrees to pay the loan on behalf of the borrower. ",general
"if a loan is in the name of a legal entity, can the shareholder or director get a loan?"," if you meet the bank's requirements, yes.",general
can i get a project loan if i have a business loan?, if you meet the additional project loan criteria. you must notify the bank in advance.,general
can i get a business loan if i have a project loan?, if you meet the bank's criteria.,general
can citizens and legal entities who have never taken a loan before get a loan?," yes. if you meet the loan criteria, a decision will be made on whether to grant a loan based on the review.",general
is it possible to get a business loan if you have a loan from another bank?, yes. a decision will be made on whether to grant a loan based on the loan information of other banks and your business loan research.,general
is a co-signer required for a business loan?, it will be required depending on the loan risk assessment.,general
can i get a business loan if i have a housing loan or other household loans?," yes. if you are able to repay the loan with your business income according to the loan research, you can get a business loan.",general
what documents are required as proof of income for a business loan?," for individuals, a bank statement showing business income for the last 6 months. for legal entities, a report certified by the tax office.",general
"if sales income is transferred through a bank account other than xasbank, will a loan be granted?", granted. income will be confirmed by the bank statement for the last 6 months of the bank account through which sales income is transferred. ,general
what collateral is required for a business loan?," real estate, movable property, and current assets are pledged. ",general
what is included in movable assets?," machinery, technical equipment, and equipment that are in normal operation. ",general
is it mandatory to insure collateral?, assets financed by loans must be insured. ,general
can loan repayments be exempted for a certain period of time?," depending on the seasonal characteristics of the business and the frequency of income, principal payments may be exempted. only interest payments will be made during the months when principal payments are exempted. ",general
can non-own assets be pledged for a business loan?," yes. depending on the loan amount, a certain amount of collateral can be taken.",general
