Question,answer,real
tumbaash салбар лобби атм хагас сайн өдөр ажилладаг уу?,Тийм ээ.,closed
"ubm center, express atm хэдэн цагт хаагддаг вэ?",UBM Center Express АТМ Даваагаас Баасан гараг хүртэл өглөөний 8-18 цаг хүртэл ажиллана.,23:59
Ханжаргалант салбар долоо хоног бүр хэдэн цагаар ажилладаг вэ?,Даваа-Нар 8-20 цаг,"monday - friday: 08:30am-4:30pm
saturday, sunday: сlosed"
"Хасбанк ард салбар Цэцэг төв, буухиа банкны АТМ даваа гаригт хэдэн цагаар ажиллах вэ?",Даваа-Баасан 08:00-17:00,closed
ikh ord lobby хагас сайн өдөр ажилладаг уу?,"Тийм ээ, Их Орд Лобби хагас сайн өдөр ажиллана.",closed
саямаа маркет Даваа гарагт хэдэн цагаар ажилладаг вэ?,Даваа - Ням гараг: 08:30 - 16:30.,closed
Дарь эх ундэс төв хэдэн цагт нээгддэг вэ?,мяг-ням 09:00-19:00,07:00
gost худалдааны төвийн хаяг хэд вэ?,"архангай аймаг, эрдэнэбулгам сум, гост худалдааны төв","arkhangai province, erdenebulgam sum, gost shopping center"
"esun-erdene market, express atm ажлын өдрүүдэд хэдэн цагт хаагддаг вэ?",мягмар гариг хаалттай.,19:30
janjin club atm даваа гаригт хэдэн цагаар ажилладаг вэ?,АТМ өглөө 9-17 цаг хүртэл ажилладаг.,closed
зүүнхараа салбарын утас хэд вэ?,Зүүнхараа салбарын утас 70333333.,1800-1888
номин супермаркетийн АТМ хэдэн цагт нээгддэг вэ?,Номин супермаркет АТМ Даваагаас Баасан гараг хүртэл 08:00 цагт ажиллана.,08:30
shur market atm хэдэн цагт нээгддэг вэ?,Шүр Маркет АТМ Даваагаас Баасан гарагуудад 7:30-18:00 цагийн хооронд ажиллана.,00:00
shine darhan салбар хагас сайн өдөр ажилладаг уу?,"үгүй ээ, хаалттай.",closed
"баруун-урт далай булаг, буухиа атм долоо хоног хэдэн цагаар ажилладаг вэ?","Баруун-урт далай булаг, буухиа АТМ долоо хоног бүрийн Даваа-Баасан гарагуудад 09:00-18:30 цагийн хооронд ажиллана.","mon-sat 09:00-22:00
sunday 10:00-22:00"
taats alt market atm ямар хаяг вэ?,"Таац алт маркет АТМ-ийн хаяг нь &quot;Улаанбаатар хот, Сүхбаатар дүүрэг, Чингэлтэй хороо, Баянхангайн гудамж, Таац алт супермаркет&quot;.","22nd khoroo, 6th microdistrict, taats alt hotel and supermarket "
би ням гаригт архангай салбараар орж болох уу?,"Тийм ээ, та ням гарагт манай Архангай салбараар үйлчлүүлж болно.",closed
Хэнтий евт зах ажлын өдрүүдэд хэдэн цагт хаадаг вэ?,Хэнтий Эвт Маркет Экспресс АТМ Даваагаас Баасан гарагуудад 07:30-18:00 цаг хүртэл ажиллана.,19:00
улаангом салбарын утас хэд вэ?,70111111,1800-1888
Дорноговь салбар Өргөтгөл АТМ хэдэн цагт хаагддаг вэ?,Дорноговь салбар Өргөөтгүл АТМ 20.00 цагт хаагдана.,23:59
"Myangan Neriin Baraa, Express ATM Хэдэн цагт хаагддаг вэ?",АТМ өглөө 09:00 цагаас оройн 18:00 цаг хүртэл ажиллана.,20:00
Сонинохайрхан салбарын утас хэд вэ?,Сонгино Хайрханскийн салбарын утас 7010-0000.,1800-1888
Дархан салбар даваа гаригт хэдэн цагаар ажилладаг вэ?,Дархан салбар Даваагаас Баасан гараг хүртэл 9:00-17:00 цагийн хооронд ажиллана.,8:30am - 04:30pm
баянгол салбар экспресс банк crm-2 хаяг хэд вэ?,"Баянгол салбар Экспресс банкны CRM-2 хаяг нь 13-р хороо, 4-р бичил хороолол, Ард Аюушийн өргөн чөлөөнд байрладаг.","13rd khoroo, 4th microdistrict, ard ayush avenue, bayangol branch xac bank "
"tedy 2 center, express atm хэдэн цагт нээгддэг вэ?",Tedy 2 Center Express ATM нь Даваагаас Баасан гарагуудад өглөөний 7:30 цагаас оройн 18 цаг хүртэл ажиллана.,10:00
содон сансар супермаркет АТМ ямар хаяг вэ?,6-р хороо содон хороолол сансар супермаркет,"6th khoroo, sodon khoroolol, sansar supermarket"
"Олон улсын худалдааны төв, буухиа АТМ ямар хаяг вэ?","Чингэлтэй дүүргийн 1-р хороо, олон улсын худалдааны төв, буухиа АТМ","darkhan-uul province, darkhan, international shopping center"
хархорин захын буухиа АТМ хэд вэ?,Хархорин зах экспресс АТМ-ийн утас +976 11 311111.,1800-1888
Ачлал төвийн АТМ ажлын өдрүүдэд хэдэн цагт хаагддаг вэ?,Ачлал төвийн АТМ Даваагаас Баасан гараг хүртэл 8:00-18:00 цагийн хооронд ажиллаж байна.,20:00
Би ням гарагт номин супермаркетийн АТМ-д очиж болох уу?,"Тийм ээ, та ням гарагт Номин супермаркетийн АТМ-д зочлоорой.",closed
Дундговь салбар хэдэн цагт нээгддэг вэ?,Дундговь салбар Даваагаас Баасан гараг хүртэл 9-17 цаг хүртэл ажиллана.,08:30
