Question,answer,real
tumbaash салбар лобби атм хагас сайн өдөр ажилладаг уу?,Тийм ээ.,closed
"ubm center, express atm хэдэн цагт хаагддаг вэ?",UBM Center Express АТМ Даваагаас Баасан гараг хүртэл өглөөний 8-18 цаг хүртэл ажиллана.,23:59
Ханжаргалант салбар долоо хоног бүр хэдэн цагаар ажилладаг вэ?,Даваа-Нар 8-20 цаг,"monday - friday: 08:30am-4:30pm
saturday, sunday: сlosed"
"Хасбанк ард салбар Цэцэг төв, буухиа банкны АТМ даваа гаригт хэдэн цагаар ажиллах вэ?",Даваа-Баасан 08:00-17:00,closed
ikh ord lobby хагас сайн өдөр ажилладаг уу?,"Тийм ээ, Их орд лобби хагас сайн өдөр ажиллана.",closed
Даваа гаригт саямаа маркет атм хэдэн цаг ажиллах вэ?,Даваа - Ням гараг: 08:30 - 16:30.,closed
Дарь эх ундэс төв хэдэн цагт нээгддэг вэ?,мяг-ням 09:00-19:00,07:00
gost худалдааны төвийн хаяг хэд вэ?,"архангай аймаг, эрдэнэбулгам сум, гост худалдааны төв","arkhangai province, erdenebulgam sum, gost shopping center"
"esun-erdene market, express atm ажлын өдрүүдэд хэдэн цагт хаагддаг вэ?",мягмар гариг хаалттай.,19:30
janjin club atm даваа гаригт хэдэн цагаар ажилладаг вэ?,АТМ өглөө 9-17 цаг хүртэл ажилладаг.,closed
зүүнхараа салбарын утас хэд вэ?,Зүүнхараа салбарын утас 70333333.,1800-1888
номин супермаркетийн АТМ хэдэн цагт нээгддэг вэ?,Номин супермаркет АТМ Даваагаас Баасан гараг хүртэл 08:00 цагт ажиллана.,08:30
shur market atm хэдэн цагт нээгддэг вэ?,Шүр маркет АТМ Даваагаас Баасан гарагуудад 7:30-18:00 цагийн хооронд ажиллана.,00:00
shine darhan салбар хагас сайн өдөр ажилладаг уу?,"үгүй ээ, хаалттай.",closed
"баруун-урт далай булаг, буухиа атм долоо хоног хэдэн цагаар ажилладаг вэ?","Баруун-урт далай булаг, буухиа АТМ долоо хоног бүрийн Даваа-Баасан гарагуудад 09:00-18:30 цагийн хооронд ажиллана.","mon-sat 09:00-22:00
sunday 10:00-22:00"
taats alt market atm ямар хаяг вэ?,"Таац алт маркет АТМ-ийн хаяг нь &quot;Улаанбаатар хот, Сүхбаатар дүүрэг, Чингэлтэй хороо, Баянхангайн гудамж, Таац алт супермаркет&quot;.","22nd khoroo, 6th microdistrict, taats alt hotel and supermarket "
би ням гаригт архангай салбараар орж болох уу?,"Тийм ээ, та ням гарагт манай Архангай салбараар үйлчлүүлж болно.",closed
Хэнтий евт зах ажлын өдрүүдэд хэдэн цагт хаадаг вэ?,Хэнтий Эвт Маркет Экспресс АТМ Даваагаас Баасан гарагуудад 07:30-18:00 цаг хүртэл ажиллана.,19:00
