question,answer,metadata_branch_name,metadata_address,metadata_timetable,metadata_phone,metadata_opening_time,metadata_closing_time
"what is the name of the branch located at xacbank building, 11th bag, ulaangom soum
what3words: /// quibble.erupt.croaking?","xacbank building, 11th bag, ulaangom soum
what3words: /// quibble.erupt.croaking",uvs branch,"xacbank building, 11th bag, ulaangom soum
what3words: /// quibble.erupt.croaking","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the tenger plaza shopping center атм branch open on sunday?,yes,tenger plaza shopping center атм,"8th khoroo, tenger plaza center",mon-sun 8am-12pm,1800-1888,08:00,23:59
"what are the opening hours for erdenes plaza, express atm  branch?","opening time: 09:00, closing time: 23:59","erdenes plaza, express atm ","darkhan-uul province, darkhan, erdenes plaza ",mon-sun 9am-12pm,1800-1888,09:00,23:59
where is the efes supermarket atm branch located?,"micro-region #6, district #13, efes supermarket, infront of wrestling palace",efes supermarket atm,"micro-region #6, district #13, efes supermarket, infront of wrestling palace",mon-sun: 08:45-23:45,18001888,08:45,23:45
is the choir branch branch open on sunday?,yes,choir branch,"apartment 4, 3rd bag, sumber soum, gobisumber aimag 
what3words: /// feline.stopover.handstands","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the dornogovi sydney атм branch open on sunday?,yes,dornogovi sydney атм,"dornogovi province, sainshand, sydney dornogovi ",mon-sun 24 hour,1800-1888,00:00,23:59
what are the opening hours for norjin minii delguur atm branch?,"opening time: 08:30, closing time: 20:30",norjin minii delguur atm,"micro-region #4, district #15, peace avenue, norjin minii delguur",mon-sun: 08:30-20:30,nan,08:30,20:30
what are the opening hours for misheel expo shopping center branch?,"opening time: 09:00, closing time: 19:00",misheel expo shopping center,"2nd khoroo, chinggis avenue, misheel expo shopping center ",mon-sun 9am78pm,1800-1888,09:00,19:00
what are the opening hours for delgerhaan branch branch?,"opening time: 08:30, closing time: 16:30",delgerhaan branch,"murun market place, 4th bag, murun soum,
what3words: /// librarian.importers.ramps","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at 301-304, block b, autocom shopping center, 32nd khoroo, songinokhairkhan district
///possessors.showered.trustees?","301-304, block b, autocom shopping center, 32nd khoroo, songinokhairkhan district
///possessors.showered.trustees",automobile purchase loan center 1,"301-304, block b, autocom shopping center, 32nd khoroo, songinokhairkhan district
///possessors.showered.trustees","monday - sunday: 8:30am-4:30pm
tuesday: сlosed",1800-1888,08:30,16:30
