question,answer,product_name,link,advantages,terms,conditions,benefits,requirements,metadata
What are the conditions to apply for Consumption purchase loan?,Not Provided,Consumption purchase loan,https://xacbank.mn/product/5?lang=en,"During your annual leave and holidays when you incur higher expenses, you can enjoy the grace period for one month period and pay only interest payments;
    If you buy items, except for mobile phones, worth of up to MNT 3 million, the purchased item shall serve as 100% collateral. Down payment and additional collateral are not needed;
    If you buy items worth more than MNT 3 million, you can make a down payment or you need to provide additional collateral of the same amount so that you may purchase the item with 100% financing even if you do not have a down payment.","Loan size
	Loan period
	Interest rate*
	service fee
monthly rate	Annual rate
Up to  MNT 50 million
	30 months
	2.0%
	24.0%
	1%

*Annual percentage rate: 24.9%",Not Provided,"You can buy electronic devices, mobile phones, and home furniture from partnering organizations and individuals using Consumption Purchase Loan.","To have been employed or run business for last 6 months;
    No bad loan history.

Required documents:

    Application form for consumption purchase loan (request from XacBank branch office or download here);
    3х4 sized photo;
    ID card and its copy for the applicant and the family members;
    Social Insurance Book and its copy for the applicant and the family members;
    Salary reference for the applicant and the family members, if Social Insurance Book does not reflect the real salary amount (request the form from XacBank branch office or download here);
    Evidence of business income for family members, if any;
    Purchase Invoice;
    Other.","Loan size

up to 50 million MNT

loan period

30 months

interest rate

Monthly rate: 2.0%

annual rate: 24.0%"
What are the benefits of using Platinum card (UPI)?,Not Provided,Platinum card (UPI),https://xacbank.mn/product/44?lang=en,"Make payments both domestically and internationally without any problem;
    You will be able to proceed international payments using your MNT account, where non-cash exchange rate will apply depending on the currency of your transactions;
    Currency of your choice such as MNT, USD, and CNY will be connected to your card;
    The payment will proceed through your account which has the same currency as the transaction currency, hence there is no loss from currency exchange;
    Sub-cards at discounted terms;
    No minimum balance is required;
    Link all your demand deposit accounts at XacBank to your payment card and make payments and settlements using internet bank and ATM;
    Withdraw cash (CNY) at “Bank of Inner Mongolia” branches.","condition
	Fees and charges
Annual fee
	MNT 100,000
Maximum daily cash withdrawal limit
	MNT 20,000,000
Maximum daily purchase limit (POS)
	MNT 20,000,000
Card replacement fee
	-
PIN code recovery fee
	-
Cash withdrawal
	XacBank ATM
	MNT 0
In abroad /АТМ, POS/
	1.5% or equal to MNT 3000
At XacBank branch /USD, CNY/
	0.25%
At XacBank branch /MNT/
	MNT 200
Balance inquire on an ATM
	XacBank ATM	MNT 0
Other domestic banks' ATM
	MNT 100
Abroad bank ATM
	MNT 1000 or equal currency
Cash withdrawal at “Bank of Inner Mongolia” branches
	Maximum daily limit 200,000 CNY
Minimum single transaction amount 10,000 CNY",Not Provided,Not Provided,"If Mongolian citizen - Id or international passport of Mongolia;
    If foreign citizen - Certificate of alien registration;","If Mongolian citizen - Id or international passport of Mongolia;
    If foreign citizen - Certificate of alien registration;"
Where can I learn more about Prepaid interest deposit?,https://xacbank.mn/product/72?lang=en,Prepaid interest deposit,https://xacbank.mn/product/72?lang=en,"If you prefer to safely deposit a certain amount of your company's funds in a savings account while maintaining the option to spend the earned interest, this is the solution for you. Interest is accrued on a daily basis and the income is added to the account each month.Feature

Currency – MNT, USD;
No account opening and keeping fee;
No additional deposit nor withdrawals are allowed during contract period;
Method to calculate interest rate - general;
Option to receive interest earnings into other account.
Advantages:
Benefits from loan interest rate discount;
Competitive interest rates;
Option to collect interest earnings into any account;
Option to receive account information by an email;
In sudden case of funding needs option to apply for favorable interest rate loan covered by deposit without terminating time deposit account;
Ability to manage accounts 24 hour a day.",Not Provided,"currency
MINIMUM BALANCE REQUIREMENT
annual interest rate
6 MONTHS
9 MONTHS
12 MONTHS
18 MONTHS
24 MONTHS
MNT
2,000,000
9.6%	10.2%
11.0%
11.0%
12.0%
USD
2,000
1.40%
1.60%
1.80%
-
-services
transactions
amount of fees (currencies)
mnt
usd
Income transaction
Non-cash income
No fee
Cash income
No fee
fees and commissions	currencies
mnt
Opening an account
No fee",Not Provided,"Customer application form /download bank form here/;
An official request to open an account;
Official notarized copy of State Registration Certificate;
Notarized signature of applicant /download bank form/;
Copy of charter of the company;
Copy of ID card of the authorized person to dispose with an account.","INTEREST (MNT)

9.6%-12.0%

INTEREST (USD)

1.40%-1.80%"
What are the requirements for XacInfo notification service?,"You may bring your ID card to the nearest XacBank branch office for service registration.
    If you are already a user of internet banking service, fill in the e-application form for XacInfo notification service while you are logged in in the internet banking service.
    You can also contact XacBank at service inquiry number 1800-1888 for the service registration.",XacInfo notification service,https://xacbank.mn/product/51?lang=en,"Constant control of account transactions;
    Prevention from various risks that may be caused by loss of payment card;
    Timely notice about wrongful or duplicated transactions in case you are using e-banking service.","Service registration is free of charge. Commissions shall be deducted from your account every time the notification is delivered to the client. Clients can choose the account the commissions to be deducted. Commission amount shall vary depending on the information channel.

    SMS notifications to your mobile phone – MNT 50;
    E-mail notifications to your E-mail address – FREE;
    Both SMS and E-mail notifications - 50 MNT.","Delivers information on all the transactions of all the domestic cards, current and savings accounts;
    Several accounts can be linked;
    Receive information on any transaction in your child’s “Future Millionaire” savings account;
    You can select the type and minimum amount of transactions you want to receive as a notification;
    Transaction notifications can be accompanied with the account balance information.
    The notifications can be delivered by SMS or E-mail.",Not Provided,"You may bring your ID card to the nearest XacBank branch office for service registration.
    If you are already a user of internet banking service, fill in the e-application form for XacInfo notification service while you are logged in in the internet banking service.
    You can also contact XacBank at service inquiry number 1800-1888 for the service registration.","sms notification

50 mnt

email notification

0 mnt

registration fee

0 mnt"
Can you explain the terms for Securities settlement Escrow account?,Not Provided,Securities settlement Escrow account,https://xacbank.mn/product/66?lang=en,"Protecting against the risk that arises from the transfer of ownership, use, or rights between citizens and institutions by holding the relevant funds in an Escrow account until each party has fulfilled their respective responsibilities.
Advantages:
Mitigate any risks that may occur;
Prevent misunderstandings between parties",Not Provided,"Fees and commissions:
Involved party/ Agreement type
General conditions
Buyer / Seller
0.3%
/Maximum 200,000 MNT
/USD, 200 EURO/
For Escrow accounts in the amount exceeding 100 million MNT, the fee shall be agreed upon in the contract.",Not Provided,"Required documents:
Escrow account application form /Bank official form/;
The original version and a copy of the agreement between the relevant parties;
For institutions, official notarized copy of State Registration Certificate;
Notarized guarantee of applicant's signature /Bank official form/;
Copy of charter of the company;
Copy of electronic ID card of authorized administrator of the account.","For more information, please contact your nearest XacBank branch, our customer service hotline 1800-1888, or to reach the relationship manager responsible for your institution, please e-mail us at smerm@xacbank.mn."
"What are the conditions to apply for ""Monpay"" payment card?","Card validity
5 years
Annual fee
MNT 10,000
Maximum daily cash withdrawal limit
MNT 5,000,000
Maximum daily purchase limit (POS transaction)
MNT 5,000,000
Card replacement fee
MNT 10,000
PIN code recovery at branch
MNT 1,000
PIN code change at ATM
MNT 0
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/	0.25%
At XacBank branch /MNT/	MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM	MNT 1000 or equal currency","""Monpay"" payment card",https://xacbank.mn/product/132?lang=en,We offer you a Monpay card which you can use to make all your international and domestic payments and collect 1% cashback on your Monpay account.,"Card validity
5 years
Annual fee
MNT 10,000
Maximum daily cash withdrawal limit
MNT 5,000,000
Maximum daily purchase limit (POS transaction)
MNT 5,000,000
Card replacement fee
MNT 10,000
PIN code recovery at branch
MNT 1,000
PIN code change at ATM
MNT 0
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/	0.25%
At XacBank branch /MNT/	MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM	MNT 1000 or equal currency","Card validity
5 years
Annual fee
MNT 10,000
Maximum daily cash withdrawal limit
MNT 5,000,000
Maximum daily purchase limit (POS transaction)
MNT 5,000,000
Card replacement fee
MNT 10,000
PIN code recovery at branch
MNT 1,000
PIN code change at ATM
MNT 0
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/	0.25%
At XacBank branch /MNT/	MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM	MNT 1000 or equal currency","Collect 1% cashback on your Monpay account on purchases made through XacBank POS terminals;
No ATM withdrawal fees when used on XacBank ATMs;
Secure online payments;
Use your payment card with ease when you travel.","If Mongolian citizen - Id or international passport of Mongolia;
If foreign citizen - Certificate of alien registration;",Not Provided
Can you explain the terms for Not Provided?,Not Provided,Not Provided,https://xacbank.mn/product/115?lang=en,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
What are the conditions to apply for Regular term deposit?,"Interest rates and fees:
Currency
MINIMUM BALANCE REQUIREMENT
INTEREST RATE /ANNUAL/
3 months
6 months
9 months
12 Months
18 months
24 months
MNT
250,000
Nominal
9.00%
9.60%
10.20%
11.00%
11.0%
12.00%
Effective*
9.38%
10.03%
10.69%
11.57%
11.57%
12.68%
USD**
200
Nominal
1.20%**
1.40%
1.60%
1.80%
-
-
Effective*
1.21%
1.41%
1.61%
1.81%
-
-
CNY***
1,500
Nominal
1.20%***
1.40%***
1.60%***
1.80%
-
-
Effective*
1.21%
1.41%
1.61%
1.81%
-
-
Yen	30,000	Nominal
1.00%	-	-	-	-	-
Effective*
1.00%
* Effective interest rate is same as Annual percentage yield, which means a normalized representation of an interest rate, based on a compounding period of one year.

** If the balance of savings account exceeds USD10,000,001, the annual interest rate is calculated at 1.80%.

*** If the balance of savings account exceeds CNY50,000,001, the annual interest rate is calculated at 1.80%.

transaction fees and commissions

services
transactions
amount of fee (currencies)
mnt
usd
eur
cny
Income transaction
Non-cash income
No fee
Cash income
No fee
account fees and commissions

fees and commissions	currencies
mnt
Opening an account
No fee",Regular term deposit,https://xacbank.mn/product/71?lang=en,"By depositing your institution's savings into XacBank's time deposit account, you will cumulative interest earnings at competitive rates regardless of the balance in the account.
Feature
Currency – MNT, USD, EUR, CNY;
No account opening and keeping fee;
Minimum balance requirement;
Method to calculate the interest - accrued each day, and received every month on compound basis. Advantages:
Benefits from loan interest rate discount;
Competitive interest rates;
Option to collect interest earnings into any account;
Option to receive account information by an email;
In sudden case of funding needs option to apply for favorable interest rate loan covered by deposit without terminating time deposit account;
Ability to manage accounts 24 hour a day.",Not Provided,"Interest rates and fees:
Currency
MINIMUM BALANCE REQUIREMENT
INTEREST RATE /ANNUAL/
3 months
6 months
9 months
12 Months
18 months
24 months
MNT
250,000
Nominal
9.00%
9.60%
10.20%
11.00%
11.0%
12.00%
Effective*
9.38%
10.03%
10.69%
11.57%
11.57%
12.68%
USD**
200
Nominal
1.20%**
1.40%
1.60%
1.80%
-
-
Effective*
1.21%
1.41%
1.61%
1.81%
-
-
CNY***
1,500
Nominal
1.20%***
1.40%***
1.60%***
1.80%
-
-
Effective*
1.21%
1.41%
1.61%
1.81%
-
-
Yen	30,000	Nominal
1.00%	-	-	-	-	-
Effective*
1.00%
* Effective interest rate is same as Annual percentage yield, which means a normalized representation of an interest rate, based on a compounding period of one year.

** If the balance of savings account exceeds USD10,000,001, the annual interest rate is calculated at 1.80%.

*** If the balance of savings account exceeds CNY50,000,001, the annual interest rate is calculated at 1.80%.

transaction fees and commissions

services
transactions
amount of fee (currencies)
mnt
usd
eur
cny
Income transaction
Non-cash income
No fee
Cash income
No fee
account fees and commissions

fees and commissions	currencies
mnt
Opening an account
No fee",Not Provided,"Customer application form /download bank form here/;
An official request to open an account;
Official notarized copy of State Registration Certificate;
Notarized signature of applicant /download bank form/;
Copy of charter of the company;
Copy of ID card of the authorized person to dispose with an account.","NOMINAL (MNT)

9.0%-12.0%

EFFECTIVE (MNT)

9.38%-12.68%"
What are the advantages of Bank Guarantee?,"If you do foreign trade business, by offering XacBank’s payment guarantee to your foreign business partners, you can minimize the payment risk, thus creating an opportunity for your business to receive more favorable conditions (e.g. deferred payment instead of prepayment).

Trade with foreign partners brings specific risks. In view of this, guarantees are an important instrument within international trade to ensure that services are performed. A guarantee in this context is an abstract, standalone promise independent of the underlying transaction to make a payment at the beneficiary's request.

Advantages:
Strengthens the credibility of your business as seen by the counterpart;
Ensures further effective cooperation with your counterpart as you will not have to commit your own money to secure the transaction;
Expands customer’s commercial activities (participate in bids, receive orders for delivery of goods or services, etc.);
Lowers your cost of funding.",Bank Guarantee,https://xacbank.mn/product/86?lang=en,"If you do foreign trade business, by offering XacBank’s payment guarantee to your foreign business partners, you can minimize the payment risk, thus creating an opportunity for your business to receive more favorable conditions (e.g. deferred payment instead of prepayment).

Trade with foreign partners brings specific risks. In view of this, guarantees are an important instrument within international trade to ensure that services are performed. A guarantee in this context is an abstract, standalone promise independent of the underlying transaction to make a payment at the beneficiary's request.

Advantages:
Strengthens the credibility of your business as seen by the counterpart;
Ensures further effective cooperation with your counterpart as you will not have to commit your own money to secure the transaction;
Expands customer’s commercial activities (participate in bids, receive orders for delivery of goods or services, etc.);
Lowers your cost of funding.","terms
fee
Advising fee
USD 15
Inform of amendments to terms and conditions
USD 10
Issuance of a foreign bank guarantee
0.1%
Min. USD 50
Max. USD 150
Inquiry from a foreign bank
USD 20
Cancellation of a guarantee
USD 40
Monthly rate of risk fee for uncovered guarantees is as per decision by the credit committee of the Bank.
Uncovered DC credit analysis fee is as per standard terms and conditions of the Business
Additional fees associated with the foreign bank services and courier may apply for the account of the applicant
Domestic bank guarantee service fees:
Issuance of a bank guarantee
MNT 15,000
Amendment to terms and conditions
MNT 5,000
Cancellation of a guarantee
Covered - free of charge
Uncovered - MNT 10,000
Uncovered DC credit analysis fee is as per standard terms and conditions of the Business Loan.
Monthly rate of risk fee for uncovered guarantees is as per decision by the credit committee of the Bank.",Not Provided,"For the beneficiary:
Limits the risk of counterpart's default against contractual terms and conditions;
Efficiently collects your receivables with the use of the guarantee;
Increases security of trade transaction with your counterpart.",Not Provided,Not Provided
What are the requirements for Safety deposit box?,"ID card for person.
For legal entity

Copy of State Registration Certificate;
Copy of charter of the company;
Copy of ID card or passport of authorized person acting on behalf of the legal entity.",Safety deposit box,https://xacbank.mn/product/89?lang=en,"We will protect your irreplaceable valuables, documentation, cash and other items truly safe.

Advantages:

Reliability and security for your valuables;
Only you are aware of the items in the box;
Armored with double walls and fully complies the safety;
All complex is monitored by 24-hour signaling and security system;
Open access to the box as frequently as you wish during business hours;
As your request, tenancy of the box is as long as you want;
The box can either be shared or entrusted.",Not Provided,"Commission and fee:

Fee type
Monthly fee /MNT/
Contract
-
Extend contract
-
Box type
Small box
10,000
Medium box
12,000
Big box
15,000
Large box
20,000
Key replacement
10,000",Not Provided,"ID card for person.
For legal entity

Copy of State Registration Certificate;
Copy of charter of the company;
Copy of ID card or passport of authorized person acting on behalf of the legal entity.",Not Provided
