Question,Answer,branch_name,address,phone,timetable,open_time,close_time,question,answer,metadata
what time does bayan burd shopping center close?,20:00,bayan burd shopping center,"zavkhan province, uliastai, jinst, bayan burd shopping center",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what time does dornod narlag delguur атм close on weekdays?,22:00,dornod narlag delguur атм,"dornod province, kherlen, chita street, narlag delguur dornod ",1800-1888,mon-sun 9:30am-10pm,09:30,22:00,,,
is tumbaash branch lobby atm open on saturday?,closed,tumbaash branch lobby atm,"15th khoroo, 3rd microdistrict, ard ayush avanue, discovery llc building, xacbank",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"what time does ubm center, express atm close?",23:59,"ubm center, express atm","khuvsgul province, murun, ubm shopping center",1800-1888,mon-sun 9am-5pm,00:00,23:59,,,
what are the weekly opening hours of hanjargalant branch?,"monday - friday: 08:30am-4:30pm
saturday, sunday: сlosed",hanjargalant branch,"1st floor, sergeegdeh center, bogdiin gol bag, uliastai soum
what3words: /// broadens.admit.thank",1800-1888,"monday - friday: 08:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what are the opening hours of xacbank ard branch tsetseg tuv, express bank atm on monday?",closed,"xacbank ard branch tsetseg tuv, express bank atm","1st khoroo, baga toiruu street, chingeltei district, xacbank ard branch",1800-1888,mon-sun 8-20 hour,08:00,20:00,,,
is ikh ord lobby open on saturday?,closed,ikh ord lobby,"micro-region # 14, ikh ord tuv",1800-1888,mon-sun: 24 hour,06:00,23:59,,,
what are the opening hours of sayamaa market атм on monday?,closed,sayamaa market атм," 9th khoroo, west sonsgolon street, nisekh sayamaa market ",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
what time does dari-ekh undes tuv open?,07:00,dari-ekh undes tuv,"bayanzurkh district, 2st khoroo, dari-ekh undes tuv",1800-1888,mon-sun 7am-12pm,07:00,22:59,,,
what is the address of gost shopping center атм?,"arkhangai province, erdenebulgam sum, gost shopping center",gost shopping center атм,"arkhangai province, erdenebulgam sum, gost shopping center",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
